Book_ID (Primary Key),Title,Author's First Name,Author's Last Name,ISBN-10,Genre,Pages,Year,Lexile,Rating,Publisher,,,,,,,,,,,,,,,,,
0,Harry Potter and the Sorcerer's Stone,Joanne,Rowling,1338878921,Fantasy,223,1997,880,4.5,Bloomsbury,,,,,,,,,,,,,,,,,
1,Harry Potter and the Sorcerer's Stone,Joanne,Rowling,1338878921,Fantasy,223,1997,880,4.5,Bloomsbury,,,,,,,,,,,,,,,,,
2,Harry Potter and the Sorcerer's Stone,Joanne,Rowling,1338878921,Fantasy,223,1997,880,4.5,Bloomsbury,,,,,,,,,,,,,,,,,
3,Harry Potter and the Chamber of Secrets,Joanne,Rowling,439064872,Fantasy,251,1998,940,4.4,Bloomsbury,,,,,,,,,,,,,,,,,
4,Harry Potter and the Prisoner of Azkaban,Joanne,Rowling,545582938,Fantasy,317,1999,880,4.6,Bloomsbury,,,,,,,,,,,,,,,,,
5,Harry Potter and the Prisoner of Azkaban,Joanne,Rowling,545582938,Fantasy,317,1999,880,4.6,Bloomsbury,,,,,,,,,,,,,,,,,
6,Harry Potter and the Prisoner of Azkaban,Joanne,Rowling,545582938,Fantasy,317,1999,880,4.6,Bloomsbury,,,,,,,,,,,,,,,,,
7,Harry Potter and the Goblet of Fire,Joanne,Rowling,1338878956,Fantasy,636,2000,880,4.6,Bloomsbury,,,,,,,,,,,,,,,,,
8,Harry Potter and the Goblet of Fire,Joanne,Rowling,1338878956,Fantasy,636,2000,880,4.6,Bloomsbury,,,,,,,,,,,,,,,,,
9,Harry Potter and the Order of the Phoenix,Joanne,Rowling,0747551006 ,Fantasy,766,2003,950,4.13,Bloomsbury,,,,,,,,,,,,,,,,,
10,Harry Potter and the Order of the Phoenix,Joanne,Rowling,0747551006 ,Fantasy,766,2003,950,4.13,Bloomsbury,,,,,,,,,,,,,,,,,
11,Harry Potter and the Order of the Phoenix,Joanne,Rowling,0747551006 ,Fantasy,766,2003,950,4.13,Bloomsbury,,,,,,,,,,,,,,,,,
12,Harry Potter and the Half-Blood Prince,Joanne,Rowling,0439784549,Fantasy,607,2005,920,4.6,Bloomsbury,,,,,,,,,,,,,,,,,
13,Harry Potter and the Deathly Hallows,Joanne,Rowling,0545139708,Fantasy,607,2007,880,4.62,Bloomsbury,,,,,,,,,,,,,,,,,
14,Fahrenheit 451,Ray ,Bradbury,1451673310,Dystopian fiction,158,1953,890,4,Ballantine Books,,,,,,,,,,,,,,,,,
15,Fahrenheit 451,Ray ,Bradbury,1451673310,Dystopian fiction,158,1953,890,4,Ballantine Books,,,,,,,,,,,,,,,,,
16,Fahrenheit 451,Ray ,Bradbury,1451673310,Dystopian fiction,158,1953,890,4,Ballantine Books,,,,,,,,,,,,,,,,,
17,Percy Jackson & the Olympians: The Lightning Thief,Rick,Riordan,1368051472,Fantasy,416,2005,740,4.3,Disney Publishing Group,,,,,,,,,,,,,,,,,
